customer_id,customer_name,segment,industry,state,signup_date,status,account_manager
C00001,Customer-00001,Enterprise,Manufacturing,CA,2020-01-01,active,AM-001
C00002,Customer-00002,Mid-Market,Healthcare,TX,2021-02-02,active,AM-002
C00003,Customer-00003,SMB,Finance,NY,2022-03-03,active,AM-003
C00004,Customer-00004,Startup,Retail,FL,2023-04-04,active,AM-004
C00005,Customer-00005,Enterprise,Technology,IL,2024-05-05,active,AM-005
C00006,Customer-00006,Mid-Market,Logistics,WA,2025-06-06,active,AM-006
C00007,Customer-00007,SMB,Energy,MA,2020-07-07,active,AM-007
C00008,Customer-00008,Startup,Education,CO,2021-08-08,active,AM-008
C00009,Customer-00009,Enterprise,Manufacturing,NC,2022-09-09,active,AM-009
C00010,Customer-00010,Mid-Market,Healthcare,GA,2023-10-10,active,AM-010
C00011,Customer-00011,SMB,Finance,AZ,2024-11-11,active,AM-011
C00012,Customer-00012,Startup,Retail,VA,2025-12-12,active,AM-012
C00013,Customer-00013,Enterprise,Technology,CA,2020-01-13,active,AM-013
C00014,Customer-00014,Mid-Market,Logistics,TX,2021-02-14,active,AM-014
C00015,Customer-00015,SMB,Energy,NY,2022-03-15,active,AM-015
C00016,Customer-00016,Startup,Education,FL,2023-04-16,active,AM-016
C00017,Customer-00017,Enterprise,Manufacturing,IL,2024-05-17,active,AM-017
C00018,Customer-00018,Mid-Market,Healthcare,WA,2025-06-18,active,AM-018
C00019,Customer-00019,SMB,Finance,MA,2020-07-19,churned,AM-019
C00020,Customer-00020,Startup,Retail,CO,2021-08-20,active,AM-020
C00021,Customer-00021,Enterprise,Technology,NC,2022-09-21,active,AM-021
C00022,Customer-00022,Mid-Market,Logistics,GA,2023-10-22,active,AM-022
C00023,Customer-00023,SMB,Energy,AZ,2024-11-23,active,AM-023
C00024,Customer-00024,Startup,Education,VA,2025-12-24,active,AM-024
C00025,Customer-00025,Enterprise,Manufacturing,CA,2020-01-25,active,AM-025
C00026,Customer-00026,Mid-Market,Healthcare,TX,2021-02-26,active,AM-026
C00027,Customer-00027,SMB,Finance,NY,2022-03-27,active,AM-027
C00028,Customer-00028,Startup,Retail,FL,2023-04-28,active,AM-028
C00029,Customer-00029,Enterprise,Technology,IL,2024-05-01,active,AM-029
C00030,Customer-00030,Mid-Market,Logistics,WA,2025-06-02,active,AM-030
C00031,Customer-00031,SMB,Energy,MA,2020-07-03,active,AM-031
C00032,Customer-00032,Startup,Education,CO,2021-08-04,active,AM-032
C00033,Customer-00033,Enterprise,Manufacturing,NC,2022-09-05,active,AM-033
C00034,Customer-00034,Mid-Market,Healthcare,GA,2023-10-06,active,AM-034
C00035,Customer-00035,SMB,Finance,AZ,2024-11-07,active,AM-035
C00036,Customer-00036,Startup,Retail,VA,2025-12-08,active,AM-036
C00037,Customer-00037,Enterprise,Technology,CA,2020-01-09,active,AM-037
C00038,Customer-00038,Mid-Market,Logistics,TX,2021-02-10,churned,AM-038
C00039,Customer-00039,SMB,Energy,NY,2022-03-11,active,AM-039
C00040,Customer-00040,Startup,Education,FL,2023-04-12,active,AM-040
C00041,Customer-00041,Enterprise,Manufacturing,IL,2024-05-13,active,AM-041
C00042,Customer-00042,Mid-Market,Healthcare,WA,2025-06-14,active,AM-042
C00043,Customer-00043,SMB,Finance,MA,2020-07-15,active,AM-043
C00044,Customer-00044,Startup,Retail,CO,2021-08-16,active,AM-044
C00045,Customer-00045,Enterprise,Technology,NC,2022-09-17,active,AM-045
C00046,Customer-00046,Mid-Market,Logistics,GA,2023-10-18,active,AM-046
C00047,Customer-00047,SMB,Energy,AZ,2024-11-19,active,AM-047
C00048,Customer-00048,Startup,Education,VA,2025-12-20,active,AM-048
C00049,Customer-00049,Enterprise,Manufacturing,CA,2020-01-21,active,AM-049
C00050,Customer-00050,Mid-Market,Healthcare,TX,2021-02-22,active,AM-050
C00051,Customer-00051,SMB,Finance,NY,2022-03-23,active,AM-051
C00052,Customer-00052,Startup,Retail,FL,2023-04-24,active,AM-052
C00053,Customer-00053,Enterprise,Technology,IL,2024-05-25,active,AM-053
C00054,Customer-00054,Mid-Market,Logistics,WA,2025-06-26,active,AM-054
C00055,Customer-00055,SMB,Energy,MA,2020-07-27,active,AM-055
C00056,Customer-00056,Startup,Education,CO,2021-08-28,active,AM-056
C00057,Customer-00057,Enterprise,Manufacturing,NC,2022-09-01,churned,AM-057
C00058,Customer-00058,Mid-Market,Healthcare,GA,2023-10-02,active,AM-058
C00059,Customer-00059,SMB,Finance,AZ,2024-11-03,active,AM-059
C00060,Customer-00060,Startup,Retail,VA,2025-12-04,active,AM-060
C00061,Customer-00061,Enterprise,Technology,CA,2020-01-05,active,AM-061
C00062,Customer-00062,Mid-Market,Logistics,TX,2021-02-06,active,AM-062
C00063,Customer-00063,SMB,Energy,NY,2022-03-07,active,AM-063
C00064,Customer-00064,Startup,Education,FL,2023-04-08,active,AM-064
C00065,Customer-00065,Enterprise,Manufacturing,IL,2024-05-09,active,AM-065
C00066,Customer-00066,Mid-Market,Healthcare,WA,2025-06-10,active,AM-066
C00067,Customer-00067,SMB,Finance,MA,2020-07-11,active,AM-067
C00068,Customer-00068,Startup,Retail,CO,2021-08-12,active,AM-068
C00069,Customer-00069,Enterprise,Technology,NC,2022-09-13,active,AM-069
C00070,Customer-00070,Mid-Market,Logistics,GA,2023-10-14,active,AM-070
C00071,Customer-00071,SMB,Energy,AZ,2024-11-15,active,AM-071
C00072,Customer-00072,Startup,Education,VA,2025-12-16,active,AM-072
C00073,Customer-00073,Enterprise,Manufacturing,CA,2020-01-17,active,AM-073
C00074,Customer-00074,Mid-Market,Healthcare,TX,2021-02-18,active,AM-074
C00075,Customer-00075,SMB,Finance,NY,2022-03-19,active,AM-075
C00076,Customer-00076,Startup,Retail,FL,2023-04-20,churned,AM-001
C00077,Customer-00077,Enterprise,Technology,IL,2024-05-21,active,AM-002
C00078,Customer-00078,Mid-Market,Logistics,WA,2025-06-22,active,AM-003
C00079,Customer-00079,SMB,Energy,MA,2020-07-23,active,AM-004
C00080,Customer-00080,Startup,Education,CO,2021-08-24,active,AM-005
C00081,Customer-00081,Enterprise,Manufacturing,NC,2022-09-25,active,AM-006
C00082,Customer-00082,Mid-Market,Healthcare,GA,2023-10-26,active,AM-007
C00083,Customer-00083,SMB,Finance,AZ,2024-11-27,active,AM-008
C00084,Customer-00084,Startup,Retail,VA,2025-12-28,active,AM-009
C00085,Customer-00085,Enterprise,Technology,CA,2020-01-01,active,AM-010
C00086,Customer-00086,Mid-Market,Logistics,TX,2021-02-02,active,AM-011
C00087,Customer-00087,SMB,Energy,NY,2022-03-03,active,AM-012
C00088,Customer-00088,Startup,Education,FL,2023-04-04,active,AM-013
C00089,Customer-00089,Enterprise,Manufacturing,IL,2024-05-05,active,AM-014
C00090,Customer-00090,Mid-Market,Healthcare,WA,2025-06-06,active,AM-015
C00091,Customer-00091,SMB,Finance,MA,2020-07-07,active,AM-016
C00092,Customer-00092,Startup,Retail,CO,2021-08-08,active,AM-017
C00093,Customer-00093,Enterprise,Technology,NC,2022-09-09,active,AM-018
C00094,Customer-00094,Mid-Market,Logistics,GA,2023-10-10,active,AM-019
C00095,Customer-00095,SMB,Energy,AZ,2024-11-11,churned,AM-020
C00096,Customer-00096,Startup,Education,VA,2025-12-12,active,AM-021
C00097,Customer-00097,Enterprise,Manufacturing,CA,2020-01-13,active,AM-022
C00098,Customer-00098,Mid-Market,Healthcare,TX,2021-02-14,active,AM-023
