sale_id,sale_date,customer_id,product_id,sales_channel,region,quantity,unit_price,discount_pct,gross_sales,net_sales,cost,profit,promo_code,payment_method,is_returned
S000001,2025-01-01,C00001,P0007,Online,West,2,214.32,0.00,428.64,428.64,244.32,184.32,PROMO-A,Card,false
S000002,2025-01-02,C00002,P0014,Partner,East,3,112.69,0.03,338.07,327.93,195.12,132.81,PROMO-B,ACH,false
S000003,2025-01-03,C00003,P0021,Direct,Central,4,242.50,0.06,970.00,911.80,565.32,346.48,PROMO-C,Wire,false
S000004,2025-01-04,C00004,P0028,InsideSales,South,5,25.12,0.09,125.59,114.28,73.71,40.57,PROMO-D,Invoice,false
S000005,2025-01-05,C00005,P0035,Online,West,6,282.00,0.12,1692.00,1488.96,997.60,491.36,,Card,false
S000006,2025-01-06,C00006,P0042,Partner,East,7,107.59,0.15,753.13,640.16,444.91,195.25,PROMO-B,ACH,false
S000007,2025-01-07,C00007,P0049,Direct,Central,8,423.00,0.18,3384.00,2774.88,1997.91,776.97,PROMO-C,Wire,false
S000008,2025-01-08,C00008,P0056,InsideSales,South,9,43.45,0.00,391.07,391.07,291.35,99.72,PROMO-D,Invoice,false
S000009,2025-01-09,C00009,P0063,Online,West,10,325.92,0.03,3259.20,3161.42,1802.01,1359.41,PROMO-A,Card,false
S000010,2025-01-10,C00010,P0070,Partner,East,11,92.59,0.06,1018.49,957.38,569.64,387.74,,ACH,false
S000011,2025-01-11,C00011,P0077,Direct,Central,12,650.00,0.09,7800.00,7098.00,4400.76,2697.24,PROMO-C,Wire,false
S000012,2025-01-12,C00012,P0084,InsideSales,South,13,15.73,0.12,204.52,179.98,116.09,63.89,PROMO-D,Invoice,false
S000013,2025-01-13,C00013,P0091,Online,West,14,366.60,0.15,5132.40,4362.54,2922.90,1439.64,PROMO-A,Card,false
S000014,2025-01-14,C00014,P0098,Partner,East,15,78.31,0.18,1174.65,963.21,669.43,293.78,PROMO-B,ACH,false
S000015,2025-01-15,C00015,P0105,Direct,Central,1,339.50,0.00,339.50,339.50,244.44,95.06,,Wire,false
S000016,2025-01-16,C00016,P0112,InsideSales,South,2,34.97,0.03,69.94,67.84,50.54,17.30,PROMO-D,Invoice,false
S000017,2025-01-17,C00017,P0119,Online,West,3,444.00,0.06,1332.00,1252.08,713.69,538.39,PROMO-A,Card,false
S000018,2025-01-18,C00018,P0126,Partner,East,4,71.05,0.09,284.20,258.62,153.88,104.74,PROMO-B,ACH,false
S000019,2025-01-19,C00019,P0133,Direct,Central,5,517.00,0.12,2585.00,2274.80,1410.38,864.42,PROMO-C,Wire,false
S000020,2025-01-20,C00020,P0140,InsideSales,South,6,53.00,0.15,318.01,270.31,174.35,95.96,,Invoice,false
S000021,2025-01-21,C00021,P0147,Online,West,7,483.06,0.18,3381.42,2772.76,1857.75,915.01,PROMO-A,Card,false
S000022,2025-01-22,C00022,P0154,Partner,East,8,57.13,0.00,457.04,457.04,317.64,139.40,PROMO-B,ACH,false
S000023,2025-01-23,C00023,P0161,Direct,Central,9,250.00,0.03,2250.00,2182.50,1571.40,611.10,PROMO-C,Wire,false
S000024,2025-01-24,C00024,P0168,InsideSales,South,10,25.88,0.06,258.82,243.30,181.26,62.04,PROMO-D,Invoice,false
S000025,2025-01-25,C00025,P0175,Online,West,11,518.88,0.09,5707.68,5193.99,2960.57,2233.42,,Card,false
S000026,2025-01-26,C00026,P0182,Partner,East,12,43.93,0.12,527.16,463.90,276.02,187.88,PROMO-B,ACH,false
S000027,2025-01-27,C00027,P0189,Direct,Central,13,436.50,0.15,5674.50,4823.32,2990.46,1832.86,PROMO-C,Wire,false
S000028,2025-01-28,C00028,P0196,InsideSales,South,14,44.82,0.18,627.45,514.50,331.86,182.65,PROMO-D,Invoice,false
S000029,2025-01-01,C00029,P0203,Online,West,15,156.00,0.00,2340.00,2340.00,1567.80,772.20,PROMO-A,Card,false
S000030,2025-01-02,C00030,P0210,Partner,East,1,217.21,0.03,217.21,210.69,146.43,64.26,,ACH,false
