product_id,product_name,category,sub_category,list_price,standard_cost,is_active,launch_date
P0001,Product-0001,Hardware,Compute,250.00,130.00,true,2022-01-01
P0002,Product-0002,Software,Security,46.00,25.07,true,2023-02-02
P0003,Product-0003,Services,Network,156.00,88.92,true,2024-03-03
P0004,Product-0004,Accessories,CRM,15.50,9.22,true,2025-04-04
P0005,Product-0005,Hardware,Analytics,350.00,217.00,true,2022-05-05
P0006,Product-0006,Software,ERP,70.00,45.15,true,2023-06-06
P0007,Product-0007,Services,Support,228.00,152.76,true,2024-07-07
P0008,Product-0008,Accessories,Consulting,25.50,17.72,true,2025-08-08
P0009,Product-0009,Hardware,Training,450.00,324.00,true,2022-09-09
P0010,Product-0010,Software,Care,94.00,48.88,true,2023-10-10
P0011,Product-0011,Services,Peripheral,300.00,163.50,true,2024-11-11
P0012,Product-0012,Accessories,Compute,35.50,20.24,true,2025-12-12
P0013,Product-0013,Hardware,Security,550.00,327.25,true,2022-01-13
P0014,Product-0014,Software,Network,118.00,73.16,true,2023-02-14
P0015,Product-0015,Services,CRM,372.00,239.94,true,2024-03-15
P0016,Product-0016,Accessories,Analytics,45.50,30.49,true,2025-04-16
P0017,Product-0017,Hardware,ERP,650.00,451.75,false,2022-05-17
P0018,Product-0018,Software,Support,142.00,102.24,true,2023-06-18
P0019,Product-0019,Services,Consulting,444.00,230.88,true,2024-07-19
P0020,Product-0020,Accessories,Training,55.50,30.25,true,2025-08-20
P0021,Product-0021,Hardware,Care,250.00,142.50,true,2022-09-21
P0022,Product-0022,Software,Peripheral,166.00,98.77,true,2023-10-22
P0023,Product-0023,Services,Compute,516.00,319.92,true,2024-11-23
P0024,Product-0024,Accessories,Security,15.50,10.00,true,2025-12-24
P0025,Product-0025,Hardware,Network,350.00,234.50,true,2022-01-25
P0026,Product-0026,Software,CRM,190.00,132.05,true,2023-02-26
P0027,Product-0027,Services,Analytics,138.00,99.36,true,2024-03-27
P0028,Product-0028,Accessories,ERP,25.50,13.26,true,2025-04-28
P0029,Product-0029,Hardware,Support,450.00,245.25,true,2022-05-01
P0030,Product-0030,Software,Consulting,214.00,121.98,true,2023-06-02
P0031,Product-0031,Services,Training,210.00,124.95,true,2024-07-03
P0032,Product-0032,Accessories,Care,35.50,22.01,true,2025-08-04
P0033,Product-0033,Hardware,Peripheral,550.00,354.75,true,2022-09-05
P0034,Product-0034,Software,Compute,58.00,38.86,false,2023-10-06
P0035,Product-0035,Services,Security,282.00,195.99,true,2024-11-07
P0036,Product-0036,Accessories,Network,45.50,32.76,true,2025-12-08
P0037,Product-0037,Hardware,CRM,650.00,338.00,true,2022-01-09
P0038,Product-0038,Software,Analytics,82.00,44.69,true,2023-02-10
P0039,Product-0039,Services,ERP,354.00,201.78,true,2024-03-11
P0040,Product-0040,Accessories,Support,55.50,33.02,true,2025-04-12
P0041,Product-0041,Hardware,Consulting,250.00,155.00,true,2022-05-13
P0042,Product-0042,Software,Training,106.00,68.37,true,2023-06-14
P0043,Product-0043,Services,Care,426.00,285.42,true,2024-07-15
P0044,Product-0044,Accessories,Peripheral,15.50,10.77,true,2025-08-16
P0045,Product-0045,Hardware,Compute,350.00,252.00,true,2022-09-17
P0046,Product-0046,Software,Security,130.00,67.60,true,2023-10-18
P0047,Product-0047,Services,Network,498.00,271.41,true,2024-11-19
P0048,Product-0048,Accessories,CRM,25.50,14.54,true,2025-12-20
P0049,Product-0049,Hardware,Analytics,450.00,267.75,true,2022-01-21
P0050,Product-0050,Software,ERP,154.00,95.48,true,2023-02-22
P0051,Product-0051,Services,Support,120.00,77.40,false,2024-03-23
P0052,Product-0052,Accessories,Consulting,35.50,23.79,true,2025-04-24
P0053,Product-0053,Hardware,Training,550.00,382.25,true,2022-05-25
P0054,Product-0054,Software,Care,178.00,128.16,true,2023-06-26
P0055,Product-0055,Services,Peripheral,192.00,99.84,true,2024-07-27
P0056,Product-0056,Accessories,Compute,45.50,24.80,true,2025-08-28
P0057,Product-0057,Hardware,Security,650.00,370.50,true,2022-09-01
P0058,Product-0058,Software,Network,202.00,120.19,true,2023-10-02
P0059,Product-0059,Services,CRM,264.00,163.68,true,2024-11-03
